LP	INDV	ID	num	name	name.pop	Nsites MAT112	meanDepth MAT112	Nsites MAT113	meanDepth MAT113	Nsites MAT111	meanDepth MAT111	Nsites MAT12	meanDepth MAT12	Tot_mean_depth	Mating Type-formula	Mating Type	MT	MThead	Group	Introgression	Group1
92	HI.4257.001.BioOHT_96.04_56_calmd.bam	96.04_56	96	04_56	04_56_A2	1043	0	729	0.290809	2340	2.77863	3139	9.57598	8.60942	MAT2	MAT2	2	Mating Type	ame2	1	ame
8	HI.4257.001.BioOHT_17.04_58_calmd.bam	17.04_58	17	04_58	04_58_A2	1043	0	729	0.037037	2340	3.49915	3139	9.34979	10.1432	MAT2	MAT2	2	Mating Type	ame2	1	ame
21	HI.4257.001.BioOHT_29.04_65_calmd.bam	29.04_65	29	04_65	04_65_A2	1043	0	729	0	2340	3.8453	3139	10.1434	10.1302	MAT2	MAT2	2	Mating Type	ame2	1	ame
55	HI.4257.001.BioOHT_61.C115_calmd.bam	61.C115	61	C115	C115_A2	1043	0	729	0	2340	3.94487	3139	9.29946	10.2168	MAT2	MAT2	2	Mating Type	ame2	1	ame
13	HI.4257.001.BioOHT_21.C510_calmd.bam	21.C510	21	C510	C510_A2	1043	0	729	0	2340	1.8406	3139	7.04906	7.10666	MAT2	MAT2	2	Mating Type	ame2	1	ame
27	HI.4257.001.BioOHT_34.C511_calmd.bam	34.C511	34	C511	C511_A2	1043	0	729	0	2340	3.83974	3139	7.97961	9.9041	MAT2	MAT2	2	Mating Type	ame2	1	ame
89	HI.4257.001.BioOHT_93.C513_calmd.bam	93.C513	93	C513	C513_A2	1043	0.00479386	729	0.625514	2340	11.3667	3139	30.4199	31.8286	MAT2	MAT2	2	Mating Type	ame2	1	ame
90	HI.4257.001.BioOHT_94.C514_calmd.bam	94.C514	94	C514	C514_A2	1043	0.190796	729	0.268861	2340	16.4282	3139	42.6199	45.0096	MAT2	MAT2	2	Mating Type	ame2	1	ame
79	HI.4257.001.BioOHT_83.DDS154_calmd.bam	83.DDS154	83	DDS154	DDS154_A2	1043	0	729	0	2340	2.56752	3139	7.38738	8.21259	MAT2	MAT2	2	Mating Type	ame2	1	ame
3	HI.4257.001.BioOHT_12.DDS202_calmd.bam	12.DDS202	12	DDS202	DDS202_A2	1043	0	729	0.375857	2340	3.20171	3139	7.91845	8.28193	MAT2	MAT2	2	Mating Type	ame2	1	ame
53	HI.4257.001.BioOHT_5.DDS296_calmd.bam	5.DDS296	5	DDS296	DDS296_A2	1043	0	729	0	2340	4.70983	3139	8.78018	9.67213	MAT2	MAT2	2	Mating Type	ame2	1	ame
62	HI.4257.001.BioOHT_68.DDS82_calmd.bam	68.DDS82	68	DDS82	DDS82_A2	1043	0	729	0	2340	3.37521	3139	8.65116	9.73943	MAT2	MAT2	2	Mating Type	ame2	1	ame
22	HI.4257.001.BioOHT_2.H2083_calmd.bam	2.H2083	2	H2083	H2083_A2	1043	0	729	0	2340	3.06709	3139	8.20675	8.34515	MAT2	MAT2	2	Mating Type	ame2	1	ame
30	HI.4257.001.BioOHT_37.H2086_calmd.bam	37.H2086	37	H2086	H2086_A2	1043	0	729	0	2340	4.61838	3139	12.7531	12.0472	MAT2	MAT2	2	Mating Type	ame2	1	ame
67	HI.4257.001.BioOHT_72.H239_calmd.bam	72.H239	72	H239	H239_A2	1043	0	729	0	2340	3.14658	3139	9.42402	9.07808	MAT2	MAT2	2	Mating Type	ame2	1	ame
26	HI.4257.001.BioOHT_33.H248_calmd.bam	33.H248	33	H248	H248_A2	1043	0	729	0	2340	2.51111	3139	9.32813	8.65227	MAT2	MAT2	2	Mating Type	ame2	1	ame
66	HI.4257.001.BioOHT_71.TB2_calmd.bam	71.TB2	71	TB2	TB2_A2	1043	0.293384	729	0	2340	3.78333	3139	9.8627	10.0588	MAT2	MAT2	2	Mating Type	ame2	1	ame
69	HI.4257.001.BioOHT_74.TB5_calmd.bam	74.TB5	74	TB5	TB5_A2	1043	0	729	0	2340	20.1167	3139	49.798	51.8595	MAT2	MAT2	2	Mating Type	ame2	1	ame
43	HI.4257.001.BioOHT_50.H413a_calmd.bam	50.H413a	50	H413a	H413a_N	1043	51.117	729	55.0082	2340	50.6816	3139	43.9267	49.7381	MAT1	MAT1	1	Mating Type	nov	2	nov
42	HI.4257.001.BioOHT_4.Yu16_calmd.bam	4.Yu16	4	Yu16	Yu16_N	1043	46.604	729	44.2167	2340	46.8504	3139	42.7034	46.1104	MAT1	MAT1	1	Mating Type	nov	2	nov
77	HI.4257.001.BioOHT_81.AT146_calmd.bam	81.AT146	81	AT146	AT146_N	1043	0	729	0	2340	17.1705	3139	45.7592	45.7939	MAT2	MAT2	2	Mating Type	nov	1	nov
19	HI.4257.001.BioOHT_27.AT83_calmd.bam	27.AT83	27	AT83	AT83_N	1043	0.178332	729	0	2340	3.29786	3139	8.58458	9.80333	MAT2	MAT2	2	Mating Type	nov	1	nov
51	HI.4257.001.BioOHT_58.BP14_calmd.bam	58.BP14	58	BP14	BP14_N	1043	0	729	0	2340	13.0966	3139	40.0586	39.1641	MAT2	MAT2	2	Mating Type	nov	1	nov
37	HI.4257.001.BioOHT_45.CKT4_calmd.bam	45.CKT4	45	CKT4	CKT4_N	1043	0.128476	729	0	2340	12.047	3139	37.2096	38.8906	MAT2	MAT2	2	Mating Type	nov	1	nov
80	HI.4257.001.BioOHT_84.DDS257_calmd.bam	84.DDS257	84	DDS257	DDS257_N	1043	0	729	0	2340	17.2406	3139	47.5878	45.318	MAT2	MAT2	2	Mating Type	nov	1	nov
10	HI.4257.001.BioOHT_19.H260_calmd.bam	19.H260	19	H260	H260_N	1043	0	729	0.447188	2340	15.6671	3139	39.7582	43.0193	MAT2	MAT2	2	Mating Type	nov	1	nov
54	HI.4257.001.BioOHT_60.H276_calmd.bam	60.H276	60	H276	H276_N	1043	0.0814957	729	0	2340	3.14316	3139	6.00542	6.42239	MAT2	MAT2	2	Mating Type	nov	1	nov
60	HI.4257.001.BioOHT_66.H294_calmd.bam	66.H294	66	H294	H294_N	1043	0	729	0	2340	12.6615	3139	32.3106	37.6328	MAT2	MAT2	2	Mating Type	nov	1	nov
49	HI.4257.001.BioOHT_56.H323_calmd.bam	56.H323	56	H323	H323_N	1043	0	729	0	2340	15.1321	3139	38.3989	39.732	MAT2	MAT2	2	Mating Type	nov	1	nov
86	HI.4257.001.BioOHT_90.H328_calmd.bam	90.H328	90	H328	H328_N	1043	0	729	0.277092	2340	16.8274	3139	42.6473	45.3557	MAT2	MAT2	2	Mating Type	nov	1	nov
33	HI.4257.001.BioOHT_3.H332_calmd.bam	3.H332	3	H332	H332_N	1043	0	729	0	2340	2.45214	3139	7.98471	9.41408	MAT2	MAT2	2	Mating Type	nov	1	nov
82	HI.4257.001.BioOHT_86.H346_calmd.bam	86.H346	86	H346	H346_N	1043	0	729	0	2340	3.26154	3139	11.4982	11.4428	MAT2	MAT2	2	Mating Type	nov	1	nov
14	HI.4257.001.BioOHT_22.H371_calmd.bam	22.H371	22	H371	H371_N	1043	0	729	0	2340	3.00214	3139	7.64702	9.17799	MAT2	MAT2	2	Mating Type	nov	1	nov
12	HI.4257.001.BioOHT_20.H648_calmd.bam	20.H648	20	H648	H648_N	1043	0	729	0	2340	3.12308	3139	8.96559	9.3268	MAT2	MAT2	2	Mating Type	nov	1	nov
6	HI.4257.001.BioOHT_15.H986_calmd.bam	15.H986	15	H986	H986_N	1043	0	729	0	2340	5.55769	3139	15.972	15.0346	MAT2	MAT2	2	Mating Type	nov	1	nov
59	HI.4257.001.BioOHT_65.P114_calmd.bam	65.P114	65	P114	P114_N	1043	0	729	0	2340	3.97308	3139	9.50526	9.71697	MAT2	MAT2	2	Mating Type	nov	1	nov
48	HI.4257.001.BioOHT_55.P122_calmd.bam	55.P122	55	P122	P122_N	1043	0	729	0	2340	3.99188	3139	7.91845	10.0108	MAT2	MAT2	2	Mating Type	nov	1	nov
31	HI.4257.001.BioOHT_38.R108_calmd.bam	38.R108	38	R108	R108_N	1043	0	729	0	2340	3.27863	3139	8.16534	10.7593	MAT2	MAT2	2	Mating Type	nov	1	nov
2	HI.4257.001.BioOHT_11.R22_calmd.bam	11.R22	11	R22	R22_N	1043	0.258869	729	0	2340	2.99145	3139	8.56069	9.76659	MAT2	MAT2	2	Mating Type	nov	1	nov
1	HI.4257.001.BioOHT_10.R69_calmd.bam	10.R69	10	R69	R69_N	1043	0	729	0	2340	2.41923	3139	6.75088	7.95794	MAT2	MAT2	2	Mating Type	nov	1	nov
24	HI.4257.001.BioOHT_31.TR67_calmd.bam	31.TR67	31	TR67	TR67_N	1043	0	729	0	2340	3.4141	3139	9.68621	10.2775	MAT2	MAT2	2	Mating Type	nov	1	nov
16	HI.4257.001.BioOHT_24.TR88_calmd.bam	24.TR88	24	TR88	TR88_N	1043	0.215724	729	0	2340	2.87308	3139	8.68398	7.58782	MAT2	MAT2	2	Mating Type	nov	1	nov
39	HI.4257.001.BioOHT_47.V14_calmd.bam	47.V14	47	V14	V14_N	1043	0	729	0	2340	3.65342	3139	8.36222	8.9768	MAT2	MAT2	2	Mating Type	nov	1	nov
52	HI.4257.001.BioOHT_59.V19_calmd.bam	59.V19	59	V19	V19_N	1043	0	729	0	2340	2.95598	3139	8.72635	8.53472	MAT2	MAT2	2	Mating Type	nov	1	nov
34	HI.4257.001.BioOHT_40.Yu141_calmd.bam	40.Yu141	40	Yu141	Yu141_N	1043	0	729	0	2340	4.14017	3139	8.70405	10.2208	MAT2	MAT2	2	Mating Type	nov	1	nov
83	HI.4257.001.BioOHT_87.785401_calmd.bam	87.785401	87	785401	785401_U	1043	54.3567	729	59.7147	2340	53.9667	3139	48.7044	42.9561	MAT1	MAT1	1	Mating Type	ulm	2	ulm
35	HI.4257.001.BioOHT_43.H1018_calmd.bam	43.H1018	43	H1018	H1018_U	1043	44.2474	729	43.251	2340	47.9457	3139	38.8796	35.0051	MAT1	MAT1	1	Mating Type	ulm	2	ulm
47	HI.4257.001.BioOHT_54.H1021_calmd.bam	54.H1021	54	H1021	H1021_U	1043	44.0911	729	42.3128	2340	43.9615	3139	44.2724	36.3747	MAT1	MAT1	1	Mating Type	ulm	2	ulm
4	HI.4257.001.BioOHT_13.H1022_calmd.bam	13.H1022	13	H1022	H1022_U	1043	10.7593	729	6.72565	2340	10.6154	3139	6.53775	7.58625	MAT1	MAT1	1	Mating Type	ulm	2	ulm
70	HI.4257.001.BioOHT_75.H359_calmd.bam	75.H359	75	H359	H359_U	1043	12.9175	729	10.93	2340	10.0162	3139	9.25868	8.59906	MAT1	MAT1	1	Mating Type	ulm	2	ulm
38	HI.4257.001.BioOHT_46.H379_calmd.bam	46.H379	46	H379	H379_U	1043	8.15244	729	8.13306	2340	8.31068	3139	7.47117	6.53603	MAT1	MAT1	1	Mating Type	ulm	2	ulm
87	HI.4257.001.BioOHT_91.H809_calmd.bam	91.H809	91	H809	H809_U	1043	42.373	729	38.2689	2340	47.1855	3139	40.6817	36.0705	MAT1	MAT1	1	Mating Type	ulm	2	ulm
68	HI.4257.001.BioOHT_73.H868_calmd.bam	73.H868	73	H868	H868_U	1043	9.19463	729	11.1427	2340	9.43291	3139	8.70755	7.94889	MAT1	MAT1	1	Mating Type	ulm	2	ulm
78	HI.4257.001.BioOHT_82.H871_calmd.bam	82.H871	82	H871	H871_U	1043	49.8198	729	53.6475	2340	51.6504	3139	44.3724	40.0958	MAT1	MAT1	1	Mating Type	ulm	2	ulm
23	HI.4257.001.BioOHT_30.H872_calmd.bam	30.H872	30	H872	H872_U	1043	48.977	729	50.5418	2340	50.2363	3139	37.9764	36.822	MAT1	MAT1	1	Mating Type	ulm	2	ulm
41	HI.4257.001.BioOHT_49.H873_calmd.bam	49.H873	49	H873	H873_U	1043	50.7095	729	49.1756	2340	52.8248	3139	42.2278	38.7027	MAT1	MAT1	1	Mating Type	ulm	2	ulm
28	HI.4257.001.BioOHT_35.H909_calmd.bam	35.H909	35	H909	H909_U	1043	7.44487	729	9.49108	2340	6.44872	3139	6.02612	6.01804	MAT1	MAT1	1	Mating Type	ulm	2	ulm
63	HI.4257.001.BioOHT_69.H924_calmd.bam	69.H924	69	H924	H924_U	1043	41.5609	729	43.4102	2340	45.9278	3139	37.5594	33.0703	MAT1	MAT1	1	Mating Type	ulm	2	ulm
25	HI.4257.001.BioOHT_32.I131_calmd.bam	32.I131	32	I131	I131_U	1043	11.5791	729	6.5144	2340	9.57308	3139	7.9914	7.89252	MAT1	MAT1	1	Mating Type	ulm	2	ulm
36	HI.4257.001.BioOHT_44.H1096_calmd.bam	44.H1096	44	H1096	H1096_U	1043	0	729	0	2340	5.07009	3139	9.48678	8.51029	MAT2	MAT2	2	Mating Type	ulm	2	ulm
18	HI.4257.001.BioOHT_26.H2062_calmd.bam	26.H2062	26	H2062	H2062_U	1043	0	729	0	2340	18.1474	3139	37.3501	34.7502	MAT2	MAT2	2	Mating Type	ulm	2	ulm
11	HI.4257.001.BioOHT_1.H337_calmd.bam	1.H337	1	H337	H337_U	1043	0	729	0	2340	23.7214	3139	46.1736	41.1532	MAT2	MAT2	2	Mating Type	ulm	2	ulm
56	HI.4257.001.BioOHT_62.H649_calmd.bam	62.H649	62	H649	H649_U	1043	0	729	0	2340	18.6085	3139	42.4651	39.98	MAT2	MAT2	2	Mating Type	ulm	2	ulm
65	HI.4257.001.BioOHT_70.H864_calmd.bam	70.H864	70	H864	H864_U	1043	0.0153404	729	0	2340	17.6218	3139	42.0255	38.3474	MAT2	MAT2	2	Mating Type	ulm	2	ulm
91	HI.4257.001.BioOHT_95.I185_calmd.bam	95.I185	95	I185	I185_U	1043	0.0258869	729	0	2340	3.49957	3139	7.05288	7.5401	MAT2	MAT2	2	Mating Type	ulm	2	ulm
94	HI.4257.001.BioOHT_9.PG40_calmd.bam	9.PG40	9	PG40	PG40_U	1043	0	729	0	2340	3.09017	3139	7.52979	7.39215	MAT2	MAT2	2	Mating Type	ulm	2	ulm
