strain_x	chrom	start	stop	length	boot	n010	n001	n011	n000	tot	ttout	strain_y	lineage	location	region
TR88	OphioH327chr_6	1600000	2800000	1200000	27	1502	1679	47693	904682	955556	0.0333487094542176	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	28	1489	1702	47631	904734	955556	0.033497092229850305	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	29	1476	1625	47495	904960	955556	0.03264554163596168	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	30	1492	1679	47794	904591	955556	0.033173620119680294	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	31	1522	1670	47446	904918	955556	0.03363824136913544	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	32	1475	1709	47550	904822	955556	0.03348054679284963	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	33	1460	1683	47590	904823	955556	0.033021643202353436	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	34	1412	1623	47440	905081	955556	0.03198777403035413	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	35	1555	1682	47556	904763	955556	0.034033560434014634	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	36	1484	1700	47322	905050	955556	0.03364185790964034	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	37	1519	1673	47436	904928	955556	0.033645332658740194	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	38	1502	1606	47935	904513	955556	0.03241890059455513	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	39	1536	1586	47697	904737	955556	0.032727425204939514	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	40	1461	1634	47504	904957	955556	0.032576204109127656	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	41	1504	1683	47830	904539	955556	0.03331591051641229	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	42	1443	1709	47889	904515	955556	0.03290943640501994	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	43	1480	1637	47551	904888	955556	0.03277533595507981	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	44	1497	1686	47639	904734	955556	0.033407502256554505	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	45	1503	1635	47626	904792	955556	0.03294419014823836	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	46	1522	1646	47882	904506	955556	0.03308132492377094	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	47	1445	1597	47496	905018	955556	0.03202374936836786	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	48	1515	1665	47772	904604	955556	0.03328309469982416	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	49	1460	1719	47686	904691	955556	0.033332634316151494	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	50	1465	1584	47557	904950	955556	0.03205626931892255	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	51	1494	1712	47465	904885	955556	0.0337722532392289	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	52	1478	1655	47861	904562	955556	0.032730197864649715	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	53	1494	1663	47600	904799	955556	0.033161764705882356	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	54	1490	1674	47709	904683	955556	0.033159361965247644	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	55	1452	1678	47472	904954	955556	0.03296680148297944	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	56	1508	1697	48139	904212	955556	0.03328901722096429	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	57	1489	1716	47576	904775	955556	0.033682949386245165	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	58	1458	1611	47586	904901	955556	0.032246879334257975	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	59	1470	1701	47794	904591	955556	0.033173620119680294	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	60	1473	1651	47599	904833	955556	0.032815815458307945	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	61	1432	1629	47423	905072	955556	0.03227336946207537	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	62	1490	1650	47482	904934	955556	0.033065161534897435	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	63	1433	1663	47511	904949	955556	0.03258192839552946	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	64	1510	1632	47542	904872	955556	0.033044465945900464	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	65	1452	1624	47749	904731	955556	0.03221009864080923	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	66	1481	1690	47683	904702	955556	0.03325084411635174	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	67	1464	1654	47824	904614	955556	0.032598695215791236	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	68	1518	1712	47570	904756	955556	0.033949968467521546	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	69	1585	1663	47704	904604	955556	0.03404326681200738	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	70	1504	1658	47561	904833	955556	0.0332415214146044	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	71	1449	1662	47649	904796	955556	0.032644966316187116	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	72	1499	1647	47700	904710	955556	0.032976939203354295	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	73	1419	1705	47632	904800	955556	0.03279308028216325	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	74	1497	1670	47304	905085	955556	0.03347497040419415	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	75	1469	1662	47709	904716	955556	0.03281351526965562	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	76	1484	1666	47489	904917	955556	0.03316557518583251	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	77	1486	1688	47765	904617	955556	0.033225164869674445	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	78	1450	1599	47116	905391	955556	0.0323563120808218	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	79	1449	1672	47527	904908	955556	0.03283396806026048	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	80	1522	1677	47492	904865	955556	0.03367935652320391	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	81	1495	1711	47922	904428	955556	0.033450189891907685	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	82	1520	1711	47649	904676	955556	0.033904174274381416	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	83	1454	1747	47790	904565	955556	0.0334902699309479	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	84	1511	1686	47831	904528	955556	0.033419748698542785	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	85	1453	1626	47776	904701	955556	0.032223292029470864	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	86	1507	1641	47538	904870	955556	0.033110353822205396	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	87	1502	1639	47867	904548	955556	0.03280966009986003	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	88	1506	1586	47686	904778	955556	0.032420416893847254	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	89	1488	1617	47678	904773	955556	0.03256218801124208	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	90	1460	1636	47237	905223	955556	0.03277092109998518	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	91	1481	1599	47682	904794	955556	0.032297302965479634	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	92	1547	1707	47418	904884	955556	0.034311864692732716	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	93	1536	1646	47917	904457	955556	0.03320324728175804	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	94	1606	1767	47537	904646	955556	0.035477627952962956	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	95	1513	1645	47333	905065	955556	0.03335938985485813	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	96	1493	1637	47411	905015	955556	0.033009217270253736	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	97	1515	1672	47794	904575	955556	0.03334100514708959	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	98	1481	1613	47453	905009	955556	0.0326006785661602	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	99	1429	1619	47758	904750	955556	0.0319108840403702	TR88	NOV	12	10
R108	OphioH327chr_6	400000	600000	200000	0	185	168	6624	125939	132916	0.026645531400966184	H276	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	0	185	168	6624	125939	132916	0.026645531400966184	P122	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	0	185	168	6624	125939	132916	0.026645531400966184	R108	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	0	185	168	6624	125939	132916	0.026645531400966184	R22	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	1	201	190	6764	125761	132916	0.0289030159668835	H276	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	1	201	190	6764	125761	132916	0.0289030159668835	P122	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	1	201	190	6764	125761	132916	0.0289030159668835	R108	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	1	201	190	6764	125761	132916	0.0289030159668835	R22	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	2	178	200	6625	125913	132916	0.028528301886792454	H276	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	2	178	200	6625	125913	132916	0.028528301886792454	P122	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	2	178	200	6625	125913	132916	0.028528301886792454	R108	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	2	178	200	6625	125913	132916	0.028528301886792454	R22	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	3	149	206	6665	125896	132916	0.02663165791447862	H276	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	3	149	206	6665	125896	132916	0.02663165791447862	P122	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	3	149	206	6665	125896	132916	0.02663165791447862	R108	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	3	149	206	6665	125896	132916	0.02663165791447862	R22	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	4	192	196	6712	125816	132916	0.028903456495828365	H276	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	4	192	196	6712	125816	132916	0.028903456495828365	P122	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	4	192	196	6712	125816	132916	0.028903456495828365	R108	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	4	192	196	6712	125816	132916	0.028903456495828365	R22	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	5	174	196	6627	125919	132916	0.027916100799758564	H276	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	5	174	196	6627	125919	132916	0.027916100799758564	P122	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	5	174	196	6627	125919	132916	0.027916100799758564	R108	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	5	174	196	6627	125919	132916	0.027916100799758564	R22	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	6	203	170	6711	125832	132916	0.027790195201907317	H276	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	6	203	170	6711	125832	132916	0.027790195201907317	P122	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	6	203	170	6711	125832	132916	0.027790195201907317	R108	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	6	203	170	6711	125832	132916	0.027790195201907317	R22	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	7	174	197	6681	125864	132916	0.027765304595120492	H276	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	7	174	197	6681	125864	132916	0.027765304595120492	P122	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	7	174	197	6681	125864	132916	0.027765304595120492	R108	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	7	174	197	6681	125864	132916	0.027765304595120492	R22	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	8	197	197	6724	125798	132916	0.029298036882807854	H276	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	8	197	197	6724	125798	132916	0.029298036882807854	P122	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	8	197	197	6724	125798	132916	0.029298036882807854	R108	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	8	197	197	6724	125798	132916	0.029298036882807854	R22	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	9	187	205	6848	125676	132916	0.028621495327102803	H276	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	9	187	205	6848	125676	132916	0.028621495327102803	P122	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	9	187	205	6848	125676	132916	0.028621495327102803	R108	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	9	187	205	6848	125676	132916	0.028621495327102803	R22	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	10	170	211	6758	125777	132916	0.02818881325836046	H276	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	10	170	211	6758	125777	132916	0.02818881325836046	P122	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	10	170	211	6758	125777	132916	0.02818881325836046	R108	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	10	170	211	6758	125777	132916	0.02818881325836046	R22	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	11	191	235	6762	125728	132916	0.03149955634427684	H276	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	11	191	235	6762	125728	132916	0.03149955634427684	P122	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	11	191	235	6762	125728	132916	0.03149955634427684	R108	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	11	191	235	6762	125728	132916	0.03149955634427684	R22	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	12	228	202	6680	125806	132916	0.03218562874251497	H276	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	12	228	202	6680	125806	132916	0.03218562874251497	P122	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	12	228	202	6680	125806	132916	0.03218562874251497	R108	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	12	228	202	6680	125806	132916	0.03218562874251497	R22	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	13	187	199	6710	125820	132916	0.028763040238450076	H276	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	13	187	199	6710	125820	132916	0.028763040238450076	P122	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	13	187	199	6710	125820	132916	0.028763040238450076	R108	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	13	187	199	6710	125820	132916	0.028763040238450076	R22	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	14	181	156	6716	125863	132916	0.025089338892197735	H276	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	14	181	156	6716	125863	132916	0.025089338892197735	P122	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	14	181	156	6716	125863	132916	0.025089338892197735	R108	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	14	181	156	6716	125863	132916	0.025089338892197735	R22	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	15	186	194	6708	125828	132916	0.028324388789505068	H276	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	15	186	194	6708	125828	132916	0.028324388789505068	P122	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	15	186	194	6708	125828	132916	0.028324388789505068	R108	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	15	186	194	6708	125828	132916	0.028324388789505068	R22	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	16	192	199	6727	125798	132916	0.029061988999554037	H276	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	16	192	199	6727	125798	132916	0.029061988999554037	P122	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	16	192	199	6727	125798	132916	0.029061988999554037	R108	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	16	192	199	6727	125798	132916	0.029061988999554037	R22	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	17	184	208	6628	125896	132916	0.029571514785757393	H276	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	17	184	208	6628	125896	132916	0.029571514785757393	P122	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	17	184	208	6628	125896	132916	0.029571514785757393	R108	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	17	184	208	6628	125896	132916	0.029571514785757393	R22	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	18	161	188	6653	125914	132916	0.026228768976401622	H276	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	18	161	188	6653	125914	132916	0.026228768976401622	P122	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	18	161	188	6653	125914	132916	0.026228768976401622	R108	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	18	161	188	6653	125914	132916	0.026228768976401622	R22	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	19	165	213	6594	125944	132916	0.028662420382165606	H276	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	19	165	213	6594	125944	132916	0.028662420382165606	P122	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	19	165	213	6594	125944	132916	0.028662420382165606	R108	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	19	165	213	6594	125944	132916	0.028662420382165606	R22	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	20	187	181	6755	125793	132916	0.027239082161361953	H276	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	20	187	181	6755	125793	132916	0.027239082161361953	P122	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	20	187	181	6755	125793	132916	0.027239082161361953	R108	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	20	187	181	6755	125793	132916	0.027239082161361953	R22	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	21	217	219	6667	125813	132916	0.032698365081745916	H276	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	21	217	219	6667	125813	132916	0.032698365081745916	P122	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	21	217	219	6667	125813	132916	0.032698365081745916	R108	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	21	217	219	6667	125813	132916	0.032698365081745916	R22	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	22	181	213	6651	125871	132916	0.029619606074274545	H276	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	22	181	213	6651	125871	132916	0.029619606074274545	P122	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	22	181	213	6651	125871	132916	0.029619606074274545	R108	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	22	181	213	6651	125871	132916	0.029619606074274545	R22	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	23	188	212	6818	125698	132916	0.02933411557641537	H276	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	23	188	212	6818	125698	132916	0.02933411557641537	P122	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	23	188	212	6818	125698	132916	0.02933411557641537	R108	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	23	188	212	6818	125698	132916	0.02933411557641537	R22	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	24	204	197	6595	125920	132916	0.030401819560272936	H276	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	24	204	197	6595	125920	132916	0.030401819560272936	P122	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	24	204	197	6595	125920	132916	0.030401819560272936	R108	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	24	204	197	6595	125920	132916	0.030401819560272936	R22	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	25	216	187	6606	125907	132916	0.030502573418104754	H276	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	25	216	187	6606	125907	132916	0.030502573418104754	P122	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	25	216	187	6606	125907	132916	0.030502573418104754	R108	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	25	216	187	6606	125907	132916	0.030502573418104754	R22	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	26	162	191	6727	125836	132916	0.026237550170952875	H276	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	26	162	191	6727	125836	132916	0.026237550170952875	P122	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	26	162	191	6727	125836	132916	0.026237550170952875	R108	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	26	162	191	6727	125836	132916	0.026237550170952875	R22	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	27	171	215	6853	125677	132916	0.02816284838756749	H276	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	27	171	215	6853	125677	132916	0.02816284838756749	P122	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	27	171	215	6853	125677	132916	0.02816284838756749	R108	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	27	171	215	6853	125677	132916	0.02816284838756749	R22	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	28	186	222	6722	125786	132916	0.03034811068134484	H276	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	28	186	222	6722	125786	132916	0.03034811068134484	P122	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	28	186	222	6722	125786	132916	0.03034811068134484	R108	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	28	186	222	6722	125786	132916	0.03034811068134484	R22	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	29	208	218	6777	125713	132916	0.03142983621071271	H276	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	29	208	218	6777	125713	132916	0.03142983621071271	P122	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	29	208	218	6777	125713	132916	0.03142983621071271	R108	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	29	208	218	6777	125713	132916	0.03142983621071271	R22	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	30	177	185	6638	125916	132916	0.02726724917143718	H276	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	30	177	185	6638	125916	132916	0.02726724917143718	P122	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	30	177	185	6638	125916	132916	0.02726724917143718	R108	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	30	177	185	6638	125916	132916	0.02726724917143718	R22	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	31	199	201	6606	125910	132916	0.030275507114744173	H276	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	31	199	201	6606	125910	132916	0.030275507114744173	P122	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	31	199	201	6606	125910	132916	0.030275507114744173	R108	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	31	199	201	6606	125910	132916	0.030275507114744173	R22	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	32	200	186	6722	125808	132916	0.028711692948527223	H276	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	32	200	186	6722	125808	132916	0.028711692948527223	P122	NOV	11	9
R108	OphioH327chr_6	400000	600000	200000	32	200	186	6722	125808	132916	0.028711692948527223	R108	NOV	11	9
